"Sektor","Industri","Model","Beskrivelse","installer","state","bug","spesificity","usage","scope","applications","nationality","recommeded","documentation","language"
"Renewable Energy¶","Wind Turbines¶","LandBOSSE","LandBOSSE - The Land-based Balance-of-System Systems Engineering model is a systems engineering tool that estimates the balance-of-system costs associated with installing utility scale wind plants (10, 1.5 MW turbines or larger).","anaconda","","","","","","costs","","","",""
"Renewable Energy¶","Wind Turbines¶","OpenMDAO","OpenMDAO - Optimization of Aerodynamic systems.","pip","","","specialised","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","TopFarm2","TopFarm2 - A Python package developed by DTU Wind Energy to help with wind-farm optimizations.","pip","","","","","comprehensive","","DTU","","good",""
"Renewable Energy¶","Wind Turbines¶","BasicDTUController","BasicDTUController - The scope of this project is to provide an open source open access controller that can be used by the wind energy community as a reference.","","","","specialised","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","WindEnergyToolbox","WindEnergyToolbox - Is a collection of Python scripts that facilitate working with (potentially a lot) of HAWC2,HAWCStab2, FAST or other text input based simulation tools.","pip","","","","","comprehensive","","DTU","","",""
"Renewable Energy¶","Wind Turbines¶","windfarmGA","windfarmGA - Genetic algorithm to optimize the layout of wind farms.","Cran","","","","","","","","","","R"
"Renewable Energy¶","Wind Turbines¶","wtphm","wtphm - The Wind Turbine Prognostics and Health Management library processes wind turbine events data, as well as operational SCADA data for easier fault detection, prognostics or reliability research.","pip","","","specialised","","","abnormality","","","",""
"Renewable Energy¶","Wind Turbines¶","AirfoilPreppy","AirfoilPreppy - A Python module for pre-processing and evaluating aerodynamic airfoil data, primarily for wind turbine applications.","","","","specialised","","","","","","low",""
"Renewable Energy¶","Wind Turbines¶","GreenGuard","GreenGuard - Is a collection of end-to-end solutions for machine learning problems commonly found in monitoring wind energy production system.","pip","","","","","","machine learning","","","",""
"Renewable Energy¶","Wind Turbines¶","pyconturb","pyconturb - Constrained Stochastic Turbulence for Wind Energy Applications.","pip","","","specialised","","","","DTU","","",""
"Renewable Energy¶","Wind Turbines¶","ORBIT","ORBIT - Offshore Renewable Balance-of-system Installation Tool computes capital costs and activity times for offshore wind plant balance-of-system (everything besides the turbine) costs.","complex","","","","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","WindTurbineClassification","WindTurbineClassification - Specification of 'normal' wind turbine operating behaviour for rapid anomaly detection.","sklearn","","","","","","machine learning","","","",""
"Renewable Energy¶","Wind Turbines¶","ANYstructure","ANYstructure - Offshore Steel structure calculation tool with automatic optimization and report generation.","exe","","","","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","windrose","windrose - A graphic tool used by meteorologists to give a succinct view of how wind speed and direction are typically distributed at a particular location.","pip","","","","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","SHARPy","SHARPy - Simulation of High Aspect Ratio airplanes and wind turbines in Python.","complex","","","","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","WindSE","WindSE - A python package that uses a FEniCS backend to perform wind farm simulations and optimization.","pip","","","","","","placement","","","",""
"Renewable Energy¶","Wind Turbines¶","WEIS","WEIS - WEIS is a framework that combines multiple tools to enable design optimization of floating offshore wind turbines.","purchase","","","","","","","","","",""
"Natural Resources¶","Water¶","Stormwater","Stormwater-Management-Model - Used for single event or long-term (continuous) simulation of runoff quantity and quality from primarily urban areas.","exe","","","","","","","","","",""
"Natural Resources¶","Water¶","dataRetrieval","dataRetrieval - This R package is designed to obtain USGS or EPA water quality sample data, streamflow data and metadata directly from web services.","R","","","","","","","","","",""
"Natural Resources¶","Water¶","EGRET","EGRET - An R-package for the analysis of long-term changes in water quality and streamflow, including the water-quality method Weighted Regressions on Time, Discharge, and Season.","R","","","","","","","","","",""
"Natural Resources¶","Water¶","WaterModels.jl","WaterModels.jl - Designed to enable computational evaluation of historical and emerging water network formulations and algorithms using a common platform.","julia","","","","","","","","","",""
"Natural Resources¶","Water¶","Tree","Tree-based Inland Hydraulic Routing Project - The program under development here seeks to effectively manage the traversal of a network of streams with defined hydraulic properties specifically for the purpose of hydraulic routing in an operational flood and water resources forecasting system.","docker","","","","","","","","","",""
"Natural Resources¶","Water¶","Next Gen Water Modeling Framework","Next Gen Water Modeling Framework - This framework includes an encapsulation strategy which focuses on the hydrologic data first, and then builds a functional abstraction of hydrologic behavior.","complex","","","","","","","","","",""
"Natural Resources¶","Water¶","nhdplusTools","nhdplusTools - This package is a growing set of tools for manipulation of hydrographic data using the NHDPlus data model.","R","","","","","","","","","",""
"Natural Resources¶","Water¶","The Safe Water Project","The Safe Water Project - A team of volunteers at Code for Boston who are using data modeling, data visualization and machine learning to predict, visualize, and share data about the presence of hazardous drinking and surface water contaminants in the United States.","","","","","","","","","","",""
"Natural Resources¶","Water¶","HydroFunctions","HydroFunctions - A suite of convenience functions for working with hydrology data in an interactive Python session.","","","","","","","","","","",""
"Natural Resources¶","Water¶","CWATM","CWATM - Represents one of the new key elements of IIASAs Water program to assess water supply, water demand and environmental needs at global and regional level.","","","","","","","","","","",""
"Natural Resources¶","Water¶","The General Lake Model","The General Lake Model - A water balance and one-dimensional vertical stratification hydrodynamic model.","","","","","","","","","","",""
"Natural Resources¶","Water¶","nhdR","nhdR - R interface to the US National Hydrography Dataset.","","","","","","","","","","",""
"Natural Resources¶","Water¶","modflow6","modflow6 - Has been widely used by academics, private consultants, and government scientists to accurately, reliably, and efficiently simulate groundwater flow.","","","","","","","","","","",""
"Natural Resources¶","Water¶","iMOD","iMOD - An easy to use Graphical User Interface + an accelerated Deltares-version of MODFLOW with fast, flexible and consistent sub-domain modeling techniques.","","","","","","","","","","",""
"Natural Resources¶","Water¶","Imod","Imod-Python - Designed to help you in your MODFLOW groundwater modeling efforts.","","","","","","","","","","",""
"Natural Resources¶","Water¶","pysheds","pysheds - Simple and fast watershed delineation in Python.","","","","","","","","","","",""
"Natural Resources¶","Water¶","WhiteboxTools","WhiteboxTools - WhiteboxTools is an advanced geospatial data analysis platform.","","","","","","","","","","",""
"Natural Resources¶","Water¶","CRITERIA3D","CRITERIA3D - Includes a numerical solution for three-dimensional water and heat flow in the soil, coupled surface and subsurface flow, meteorological data interpolation, radiation budget, crop development and crop water uptake.","","","","","","","","","","",""
"Natural Resources¶","Water¶","Water Network Tool for Resilience","Water Network Tool for Resilience - A Python package designed to simulate and analyze resilience of water distribution networks.","","","","","","","","","","",""
"Natural Resources¶","Water¶","fasstr","fasstr - An R package to analyze, summarize, and visualize daily streamflow data.","","","","","","","","","","",""
"Natural Resources¶","Water¶","KnowFlow","KnowFlow - KnowFlow Automatic Water Monitoring device is an open sourced tool enable everyone having access to first hand water quality data with low cost.","","","","","","","","","","",""
"Natural Resources¶","Water¶","gwells","gwells - Groundwater Wells and Aquifers application for the Ministry of Environment in British Columbia.","","","","","","","","","","",""
"Natural Resources¶","Water¶","waterquality","waterquality - Package designed to detect and quantify water quality and cyanobacterial harmful algal bloom (CHABs) from remotely sensed imagery.","","","","","","","","","","",""
"Natural Resources¶","Water¶","LISFLOOD","LISFLOOD - A spatially distributed water resources model, developed by the Joint Research Centre of the European Commission since 1997.","pip","","","","","","","","","",""
"Natural Resources¶","Water¶","FloodMapping","FloodMapping - R package for flood forecasting via the National Water Model.","","","","","","","","","","",""
"Natural Resources¶","Water¶","QGEP","QGEP - A waste-water application based on QGIS in compliance with SIA-405.","","","","","","","","","","",""
"Natural Resources¶","Water¶","PooPyLab_Project","PooPyLab_Project - A biological wastewater treatment software.","","","","","","","","","","",""
"Natural Resources¶","Water¶","aguaclara","aguaclara - Python package for designing and performing research on AguaClara water treatment plants.","","","","","","","","","","",""
"Natural Resources¶","Water¶","RTC","RTC-Tools - A toolbox for control and optimization of water systems.","","","","","","","","","","",""
"Natural Resources¶","Water¶","EPANET","EPANET - The Water Distribution System Hydraulic and Water Quality Analysis Toolkit.","","","","","","","","","","",""
"Natural Resources¶","Water¶","pyswmm","pyswmm - Python Wrapper for Stormwater Management Model.","","","","","","","","","","",""
"Natural Resources¶","Water¶","SELEN","SELEN - An open source Fortran code for the numerical solution of the Sea Level Equation for a spherical, layered, rotating earth with viscoelastic rheology.","","","","","","","","","","",""
"Natural Resources¶","Water¶","se2waq","se2waq - Script uses Sentinel-2 data to display the spatial distribution of six relevant indicators of water quality.","","","","","","","","","","",""
"Natural Resources¶","Water¶","HydroSHEDS","HydroSHEDS - Offers a suite of geo-referenced datasets (vector & raster) at various scales, including river networks, watershed boundaries, drainage directions, and flow accumulations.","","","","","","","","","","",""
"Natural Resources¶","Water¶","rivamap","rivamap - An Automated River Analysis and Mapping Engine.","","","","","","","","","","",""
"Natural Resources¶","Water¶","PyGnome","PyGnome - It is designed to support oil and other hazardous material spills in the coastal environment.","","","","","","","","","","",""
"Natural Resources¶","Water¶","VICRes","VICRes - The model simulates key hydrological processes occurring in a river basin (e.g. water and energy balances, streamflow routing), but does not account for the operations of artificial water reservoirs.","","","","","","","","","","",""
"Natural Resources¶","Water¶","AWSM","AWSM - Automated Water Supply Model was developed at the USDA Agricultural Research Service.","","","","","","","","","","",""
"Natural Resources¶","Water¶","AED2","AED2 - A community-driven library of modules and algorithms for simulation of ""aquatic ecodynamics"": water quality, aquatic biogeochemsitry, biotic habitat and aquatic ecosystem dynamics.","","","","","","","","","","",""
"Natural Resources¶","Water¶","DORiE","DORiE - A Discontinuous Galerkin Solver for Soil Water Flow and Passive Solute Transport Based on DUNE.","","","","","","","","","","",""
"Natural Resources¶","Water¶","wqbc","wqbc - An R package for water quality thresholds and index calculation for British Columbia.","","","","","","","","","","",""
"Natural Resources¶","Water¶","Model My Watershed","Model My Watershed - A is a watershed-modeling web app for citizens, conservation practitioners, municipal decision-makers, educators, and students.","","","","","","","","","","",""
"Natural Resources¶","Water¶","AquaSat","AquaSat - A data set to enable remote sensing of water quality for inland waters.","","","","","","","","","","",""
"Natural Resources¶","Water¶","CDE","CDE - Facilitates searching and download of the Water Framework Directive reporting data for all waterbodies from the EA website.","","","","","","","","","","",""
"Natural Resources¶","Water¶","pyGSFLOW","pyGSFLOW - A set of Python modules to run the GSFLOW integrated hydrologic model program.","","","","","","","","","","",""
"Natural Resources¶","Water¶","bcgroundwater","bcgroundwater - An R package to facilitate analysis and visualization of groundwater data from the British Columbia groundwater observation well network.","","","","","","","","","","",""
"Natural Resources¶","Water¶","GSFLOW","GSFLOW-GRASS - Generates inputs for and runs the coupled groundwater-surface water model ""GSFLOW"".","","","","","","","","","","",""
"Natural Resources¶","Water¶","GWHAT","GWHAT - A free, open source, and cross-platform interactive computer program whose main focus is the interpretation of observation well hydrographs.","","","","","","","","","","",""
"Natural Resources¶","Water¶","Soil","Soil-Water-Balance - A Modified Thornthwaite-Mather Soil-Water-Balance Code for Estimating Groundwater Recharge.","","","","","","","","","","",""
"Natural Resources¶","Water¶","Long","Long-term Trends in Groundwater Levels in B.C. - R scripts for an indicator on long-term trends in groundwater levels in British Columbia published on Environmental Reporting British Columbia.","","","","","","","","","","",""
"Natural Resources¶","Water¶","GSFLOW","GSFLOW - A coupled Groundwater and Surface-water FLOW model based on the integration of the USGS Precipitation-Runoff Modeling System and the USGS Modular Groundwater Flow Model.","exe","","","","","","","","","",""
"Natural Resources¶","Water¶","canwqdata","canwqdata - An R package to download open water quality data from Environment and Climate Change Canada's National Long-term Water Quality Monitoring Data.","","","","","","","","","","",""
"Natural Resources¶","Water¶","HASP","HASP - Hydrologic AnalySis Package.","","","","","","","","","","",""
"Natural Resources¶","Water¶","CSHShydRology","CSHShydRology - This is an collection of R functions used by the Canadian Association Society for Hydrological Sciences.","","","","","","","","","","",""
"Natural Resources¶","Water¶","Liquid Prep","Liquid Prep - Offers an end-to-end solution for farmers looking to optimize their water usage; especially during times of drought.","","","","","","","","","","",""
"Natural Resources¶","Sustainable Investment¶","Integrated Valuation of Ecosystem Services and Tradeoffs","Integrated Valuation of Ecosystem Services and Tradeoffs - A family of tools for quantifying the values of natural capital in clear, credible, and practical ways.","","","","","","","","","","",""
"Natural Resources¶","Sustainable Investment¶","The REgional Model of INvestments and Development","The REgional Model of INvestments and Development - A modular open source multi-regional model incorporating the economy, the climate system and a detailed representation of the energy sector.","","","","","","","","","","",""
"Natural Resources¶","Sustainable Investment¶","WHAT","WHAT-IF - Water, Hydropower, Agriculture Tool for Investment and Financing decision support tool.","","","","","","","","","","",""
"Natural Resources¶","Sustainable Investment¶","Investment Framework for a More Sustainable World","Investment Framework for a More Sustainable World - This framework was created as a tool for those seeking to make emissions reductions and sustainability related investments with the goal of mitigating the impacts of climate change, based on guidelines set forth by Chamath Palihapitiya in July 2020.","","","","","","","","","","",""
"Natural Resources¶","Sustainable Investment¶","SSC","SSC - Contains the source code for the technology and financial models contained within the National Renewable Energy Laboratory's System Advisor Model.","","","","","","","","","","",""
"Natural Resources¶","Sustainable Investment¶","r2dii.analysis","r2dii.analysis - Summarize key metrics attributed to the portfolio (e.g. production, emission factors), and calculate targets based on climate scenarios.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","SoilGrids250m","SoilGrids250m - Global Spatial predictions of soil properties and classes at 250 m resolution.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","Hyperspectral Soilmoisture Dataset","Hyperspectral Soilmoisture Dataset - Hyperspectral benchmark dataset on soil moisture.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","soilReports","soilReports - An R package that assists with the setup and operation of a collection of soil data summary, comparison, and evaluation reports.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","AQP","AQP - Algorithms for Quantitative Pedology is a collection of code, ideas, documentation, and examples wrapped-up into several R packages.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","sharpshootR","sharpshootR - Miscellaneous soil data management, summary, visualization, and conversion utilities to support soil survey.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","soilDB","soilDB - Simplified Access to NCSS Soil Databases.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","Landslides Detection","Landslides Detection - Machine learning tool to detect landslides from optical satellite imagery.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","pyTSEB","pyTSEB - Contains Python code for Two Source Energy Balance models (Priestley-Taylor TSEB-PT, Dual Time Difference DTD and TSEB with component soil and canopy temperatures TSEB-2T) for estimating sensible and latent heat flux based on measurements of radiometric surface temperature.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","slga","slga - Offers the ability to download geographic subsets of raster data from the Soil and Landscape Grid of Australia.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","smapr","smapr - An R package for acquisition and processing of NASA (Soil Moisture Active-Passive) SMAP data.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","DRIP","DRIP-SLIP - Detecting Realtime Increased Precipitation / Sudden Landslide Identification Product.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","esa_cci_sm","esa_cci_sm - Readers and converters for ESA CCI Soil Moisture image and time series data.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","US_SoilGrids100m","US_SoilGrids100m - Complete-coverage gridded predictions of soil properties (percent organic carbon, total nitrogen, bulk density, pH, and percent sand and clay) and classes (taxonomic great group and particle size in the control section) for the Conterminous U.S.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","pytesmo","pytesmo - Python Toolbox for the Evaluation of Soil Moisture Observations.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","Drought Indices Map","Drought Indices Map - This project attempts to find an accessible and friendly way to visualize data of drought indices in Spain from 1961 until 2017.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","ml_drought","ml_drought - A Machine Learning Pipeline to Predict Vegetation Health.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","droughtwatch","droughtwatch - Leverages deep learning and computer vision for drought resilience, using satellite images and human expert labels to detect drought conditions in Northern Kenya.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","SoilHealthDB","SoilHealthDB - Compiled data from a set of soil health measurements collected across 41 countries around the world, which includes 5,241 data entries from 281 published studies.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","srdb","srdb - Global soil respiration database.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","cosore","cosore - Data, metadata, and software tools for the COSORE database of continuous soil respiration measurements.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","sidb","sidb - Contains information on laboratory soil incubation experiments, with emphasis on time series of CO2 release.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","ISRaD","ISRaD - Improve the use of radiocarbon as a constraint for understanding the soil carbon cycle.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","PredictiveSoilMapping","PredictiveSoilMapping - Applying statistical and/or machine learning techniques to fit models for the purpose of producing spatial and/or spatiotemporal predictions of soil variables, i.e. maps of soil properties and classes at different resolutions.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","OpenFLUID","OpenFLUID - A software environment for modeling and simulation of complex landscape systems.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","Trends.Earth","Trends.Earth - A QGIS plugin that supports monitoring of land change, including changes in productivity, land cover, and soil organic carbon.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","pycoal","pycoal - Python toolkit for characterizing Coal and Open-pit surface mining impacts on American Lands.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","stats_for_soil_survey","stats_for_soil_survey - Lecture material on ""Statistics for Pedologists"".","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","Simsphere","Simsphere - A one-dimensional model that allows one to simulate the transfer of heat and moisture between plants, soil and atmosphere over a 24 hour day.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","CryoGrid3","CryoGrid3 - A one-dimensional land surface model dedicated to simulate ground temperatures in permafrost environments.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","CNN","CNN-SoilTextureClassification - 1-dimensional convolutional neural networks (CNN) for the classification of soil texture based on hyperspectral data.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","EarthML","EarthML - Improving, documenting, and illustrating how to use other, freely available, general-purpose open source projects to solve problems in the earth sciences.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","STEP","STEP - ESA is developing free open source toolboxes for the scientific exploitation of Earth Observation missions under the Scientific Exploitation of Operational Missions programme element.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","globsim","globsim - Using global reanalyses for permafrost simulation.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","rSFSW2","rSFSW2 - A R package to create soil water balance simulation experiment.","","","","","","","","","","",""
"Natural Resources¶","Soil and Land¶","landscapemetrics","landscapemetrics - Landscape Metrics for Categorical Map Patterns world_map in R.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Bergen Layered Ocean Model","Bergen Layered Ocean Model - Employs an isopycnic vertical coordinate, with near-isopycnic interior layers and variable density layers in the surface mixed boundary layer.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Oceananigans.jl","Oceananigans.jl - Fast and friendly fluid dynamics on CPUs and GPUs.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","NEMO","NEMO - Nucleus for European Modeling of the Ocean is a state-of-the-art modeling framework for research activities and forecasting services in ocean and climate sciences, developed in a sustainable way by a European consortium since 2008.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","LESbrary.jl","LESbrary.jl - Generating a library of ocean turbulence large eddy simulation data to train ocean and climate models.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","GOLD","GOLD - Stands for Generalized Ocean Layer Dynamics and is a hybrid coordinate finite volume ocean model code funded by NOAA and developed by the ocean group at NOAA-GFDL and Princeton University.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","rrricanes","rrricanes - A R library that extracts information from Atlantic and east Pacific hurricanes and tropical storms.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","hydroscoper","hydroscoper - R interface to the Greek National Data Bank for Hydrometeorological Information.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","GLOCOFFS","GLOCOFFS - An ADCIRC-based global storm tide modeling system providing real-time forecasts of coastal flooding.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","OpenDrift","OpenDrift - A software for modeling the trajectories and fate of objects or substances drifting in the ocean, or even in the atmosphere.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","OceanSpy","OceanSpy - An open source and user-friendly Python package that enables scientists and interested amateurs to analyze and visualize ocean model datasets.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Iris","Iris - A powerful, format-agnostic, community-driven Python package for analyzing and visualizing Earth science data.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Veros","Veros - Powerful tool that makes high-performance ocean modeling approachable and fun.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","oce","oce - R package for oceanographic processing.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","podaacpy","podaacpy - A python utility library for interacting with NASA JPL's Physical Oceanography Distributed Active Archive Center.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Ocean","Ocean-Data-Map-Project - A Data Visualization tool that enables users to discover and view 3D ocean model output quickly and easily.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","marineHeatWaves","marineHeatWaves - A module for Python which implements the Marine Heatwave definition of Hobday et al. (2016).","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","heatwaveR","heatwaveR - Contains the original functions from the RmarineHeatWaves package that calculate and display marine heatwaves according to the definition of Hobday et al. (2016).","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","MITgcm","MITgcm - A flexible non-hydrostatic formulation that efficiently simulates fluid phenomena over a wide range of scales.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","VAPOR","VAPOR - The Visualization and Analysis Platform for Ocean, Atmosphere and Solar Researchers.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","CoralNet","CoralNet - A repository and resource for benthic image analysis.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Ferret","Ferret - An interactive computer visualization and analysis environment designed to meet the needs of oceanographers and meteorologists analyzing large and complex gridded datasets.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","ccpp","ccpp-physics - The Common Community Physics Package is designed to facilitate the implementation of physics innovations in state-of-the-art atmospheric models, the use of various models to develop physics, and the acceleration of transition of physics innovations to operational NOAA models.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","rnoaa","rnoaa - An R interface to many National Oceanic and Atmospheric Administration data sources.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","parcels","parcels - Can be used to track passive and active particulates such as water, plankton, plastic and fish.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","MOHID","MOHID-Lagrangian - Mainly developed for oceanographic and fluvial modeling, application to atmospheric and other planetary settings should be trivial.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Mohid","Mohid - A modular finite volumes water-modeling system written in ANSI-Fortran95 using an Object-oriented programming philosophy, integrating diverse mathematical models and supporting graphical user interfaces that manage all the pre- and post-processing.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","AIBECS.jl","AIBECS.jl - A Julia package that provides ocean biogeochemistry modelers with an easy-to-use interface for creating and running models of the ocean system.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","CDFTOOLS","CDFTOOLS - A fortran package for analysis and diagnostics on NEMO ocean model output.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","GOTM","GOTM - The General Ocean Turbulence Model is an ambitious name for a one-dimensional water column model for marine and limnological applications.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","pyroms","pyroms - A collection of tools to process input and output files from the Regional Ocean Modeling System.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Intro to Physical Oceanography","Intro to Physical Oceanography - Course materials for Introduction to Physical Oceanography.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","TSG","TSG-QC - Analysis and validation of underway Sea Surface Temperature and Sea Surface Salinity measurements from a SeaBird Thermosalinograph.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","WRF","WRF-Hydro - A community modeling system and framework for hydrologic modeling and model coupling.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","rwrfhydro","rwrfhydro - A community-contributed tool box for managing, analyzing, and visualizing WRF Hydro (and HydroDART) input and output files in R.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","PCR","PCR-GLOBWB_model - A large-scale hydrological model intended for global to regional studies.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","HydroShare","HydroShare - A is a collaborative website for better access to data and models in the hydrologic sciences.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","SOILWAT2","SOILWAT2 - An ecosystem water balance simulation model.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","dorado","dorado - Simulating passive Lagrangian particle transport over flow-fields from any 2D shallow-water hydrodynamic model using a weighted random walk methodology.","","","","","","","","","","",""
"Biosphere¶","Salt and Fresh Water¶","Blueant","Blueant - Environmental data for Antarctic and Southern Ocean science.","","","","","","","","","","",""
